"Website","Title","Author","Publication Date","Link","Picture Link","Category","Topic","Relevance"
"Vedomosti.ru","Производитель водки «Царская» консолидирует склады","Екатерина Волкова","2025-08-11T00:24:09","https://www.vedomosti.ru/realty/articles/2025/08/11/1130615-proizvoditel-vodki-tsarskaya-konsolidiruet-skladi","https://cdn.vdmsti.ru/image/2025/66/1ew7gn/normal-1tyj.jpg","Недвижимость / Коммерческая недвижимость","Politics","1"
"Vedomosti.ru","""«Высокий сезон»: хороший, плохие, злая""","Роман Черкасов","2025-06-11T01:13:46","https://www.vedomosti.ru/opinion/columns/2025/06/11/1116413-visokii-sezon-horoshii-plohie-zlaya","https://cdn.vdmsti.ru/image/2025/4h/1aqa0e/normal-1ok9.jpg","Мнения","Culture","1"
"RG","ФСБ вскрыла крупнейший канал нелегальной миграции","RG","2025-12-23T20:54:16","https://rg.ru/2025/12/23/uhodili-v-ten.html","","","Unknown","4"
"Vedomosti.ru","Микрофинансовым организациям запретят выдавать новые займы до погашения старых","Ведомости","2025-12-16T15:24:52","https://www.vedomosti.ru/finance/news/2025/12/16/1163735-zapretyat-vidavat-zaimi","https://cdn.vdmsti.ru/image/2025/9q/wng4q/normal-16bd.jpg","Финансы / Банки","Economics","1"
"TASS","""СК проверяет инцидент в московской школе, где учитель ударил ребенка""","","2025-12-23T22:58:57","https://tass.ru/proisshestviya/26000495","","Москва","Society","5"
"RT","Pentagon declassifies Syria ‘vengeance’ strike VIDEO","RT","2025-12-20T02:43:37","https://www.rt.com/news/629804-us-syria-vengeance-strike/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/69460d2420302746ee4c575f.png","Новости","Society","1"
"RT","""Lolita quotes, Ukrainian passports and Bill Gates: Democrats drop new batch of Epstein PHOTOS""","RT","2025-12-18T23:26:30","https://www.rt.com/news/629679-epstein-photos-passports-lolita/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/69448c3885f54072d56c3f8a.JPG","Новости","Politics","1"
"Vedomosti.ru","""Анатолий Шульев: «Свойство таланта в том, чтобы преодолевать неудачи»""","Наталья Витвицкая","2025-05-23T00:07:50","https://www.vedomosti.ru/lifestyle/characters/2025/05/23/1112094-anatolii-shulev-svoistvo-talanta-v-tom-chtobi-preodolevat-neudachi","https://cdn.vdmsti.ru/image/2025/3y/1aeevm/normal-1o4v.jpg","Стиль жизни / Интервью","Politics","1"
"Vedomosti.ru","Группа ВТБ продала гостиницу Hyatt на Ленинградском проспекте","""Екатерина Волкова, Галина Казакулова""","2025-10-17T02:34:33","https://www.vedomosti.ru/realty/articles/2025/10/17/1147552-gruppa-vtb-prodala-gostinitsu-hyatt","https://cdn.vdmsti.ru/image/2025/81/1dzlp8/normal-1ssc.png","Недвижимость / Коммерческая недвижимость","Economics","1"
"RT","Kremlin outlines senior negotiator’s mission in US","RT","2025-12-21T21:29:35","https://www.rt.com/russia/629853-peskov-dmitriev-us-talks/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/6948600585f5401c4d21b8e5.jpg","","Unknown","2"
"Vedomosti.ru","В Дубае появится аэротакси к 2026 году","Ведомости","2025-11-18T13:32:59","https://www.vedomosti.ru/technology/news/2025/11/18/1155885-dubae-poyavitsya-aerotaksi","https://cdn.vdmsti.ru/image/2025/8y/t4c49/normal-11qn.jpg","Технологии / Наукоемкие технологии","Science and tech","1"
"RT","Nirvana cover baby loses another porn lawsuit","RT","2025-10-04T08:07:09","https://www.rt.com/pop-culture/625888-nirvana-cover-baby-pornography/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.10/thumbnail/68e0ceeb20302765b614a3d5.jpg","Поп-культура","Politics","1"
"Vedomosti.ru","Путин: у России и Армении есть планы по сотрудничеству в сфере энергетики","Ведомости","2025-12-22T17:43:34","https://www.vedomosti.ru/business/news/2025/12/22/1165430-u-rossii-i-armenii-plani","https://cdn.vdmsti.ru/image/2025/9w/11wgya/normal-1d4f.png","Бизнес / ТЭК","Politics","2"
"Vedomosti.ru","Кто проигрывает в битве гигантов","Георгий Горшков","2025-12-10T01:08:28","https://www.vedomosti.ru/opinion/columns/2025/12/10/1161921-kto-proigrivaet-v-bitve-gigantov","https://cdn.vdmsti.ru/image/2025/9j/1f2uq1/normal-1u75.jpg","Мнения","Health","1"
"Vedomosti.ru","Ставки высоки","Павел Смелов","2025-11-17T19:29:01","https://www.vedomosti.ru/economics/columns/2025/11/17/1155669-stavki-visoki","https://cdn.vdmsti.ru/image/2025/8x/15ol0t/normal-1i0r.jpg","Экономика","Economics","1"
"Vedomosti.ru","Blue Origin анонсировала создание ракеты – конкурента Starship от SpaceX","Ведомости","2025-11-20T20:30:49","https://www.vedomosti.ru/technology/news/2025/11/20/1156770-blue-origin-sozdast","https://cdn.vdmsti.ru/image/2025/90/17y77q/normal-1kym.png","Технологии / Наукоемкие технологии","Economics","1"
"Lenta.ru","Как выбрать самый выгодный банковский вклад? Какие виды вкладов в банках можно открыть","Нина Рыкова","2025-12-11T12:41:00","https://lenta.ru/articles/2025/12/11/kak-vybrat-vygodnyi-vklad/","https://icdn.lenta.ru/images/2023/08/18/11/20230818110712386/pic_18386ebc446acd53a8f2d732c438a514.jpg","Экономика","Economics","1"
"Vedomosti.ru","Т-банк разрешил платить частями за все","Ведомости","2025-12-16T09:00:00","https://www.vedomosti.ru/finance/news/2025/12/16/1163552-t-bank-vnedril-oplatu","https://cdn.vdmsti.ru/image/2025/9q/gifdk/normal-led.jpg","Финансы / Банки","Economics","1"
"Vedomosti.ru","Смогут ли квоты на самозанятых улучшить ситуацию в такси","Артем Гришков","2025-12-10T00:42:14","https://www.vedomosti.ru/business/articles/2025/12/10/1161925-smogut-li-kvoti-na-samozanyatih-uluchshit-situatsiyu-v-taksi","https://cdn.vdmsti.ru/image/2025/9j/1dpv4r/normal-1sfo.png","Бизнес / Транспорт","Weather","1"
"Vedomosti.ru","В России разработают ГОСТ по биопечати","Виктория Ларченко","2025-11-27T00:45:32","https://www.vedomosti.ru/society/articles/2025/11/27/1158476-v-rossii-razrabotayut-gost-po-biopechati","https://cdn.vdmsti.ru/image/2025/96/1cu1y7/normal-1rag.jpg","Общество","Politics","1"
"Vedomosti.ru","ФАС: бюджетные организации смогут бесплатно размещать вакансии на HeadHunter","Ведомости","2025-12-17T12:51:09","https://www.vedomosti.ru/management/news/2025/12/17/1164001-vakansii-na-headhunter","https://cdn.vdmsti.ru/image/2025/9r/qvxlb/normal-yuf.jpg","Менеджмент / Рынок труда","Politics","1"
"Vedomosti.ru","Юлия Петрова: «Выставка должна быть понятной»","Александр Быковский","2025-10-03T00:53:27","https://www.vedomosti.ru/lifestyle/characters/2025/10/03/1143927-yuliya-petrova-vistavka-dolzhna-bit-ponyatnoi","https://cdn.vdmsti.ru/image/2025/7n/1bulgj/normal-1q0i.jpg","Стиль жизни / Интервью","Culture","1"
"Vedomosti.ru","Cын Байдена признал две главные ошибки отца на посту президента","Полина Петрусевич","2025-12-23T21:51:11","https://www.vedomosti.ru/politics/news/2025/12/23/1165838-cin-baidena-priznal","https://cdn.vdmsti.ru/image/2025/9x/1bklit/normal-1pnj.png","Политика / Международные новости","Politics","5"
"RT","Power is a ‘drug’ for Zelensky – political scientist","RT","2025-12-12T17:27:18","https://www.rt.com/russia/629385-power-drug-zelensky-elections/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/693c4d3185f54076df5944e3.jpg","Россия","Politics","1"
"Vedomosti.ru","49% компаний не планируют проводить новогодний корпоратив","Ведомости","2025-12-11T12:28:36","https://www.vedomosti.ru/society/news/2025/12/11/1162390-49-kompanii","https://cdn.vdmsti.ru/image/2025/9l/q29w2/normal-xs1.jpg","Общество","Politics","1"
"Vedomosti.ru","ВТБ: рынок розничного кредитования увеличится на треть в 2026 году","Ведомости","2025-12-01T10:24:48","https://www.vedomosti.ru/finance/news/2025/12/01/1159488-vtb-rinok-roznichnogo","https://cdn.vdmsti.ru/image/2025/9b/lpjwt/normal-s4w.jpg","Финансы / Банки","Economics","1"
"Vedomosti.ru","«АвтоВАЗ» рассчитывает произвести не меньше 400 000 автомобилей в 2026 году","Ведомости","2025-12-10T10:57:44","https://www.vedomosti.ru/business/news/2025/12/10/1161994-ne-menshe-400-000","https://cdn.vdmsti.ru/image/2025/9k/n3n79/normal-txt.jpg","Бизнес / Транспорт","Politics","1"
"Lenta.ru","ВСУ атаковали Севастополь","Марина Совина","2025-12-22T21:15:00","https://lenta.ru/news/2025/12/22/vsu-atakovali-sevastopol/","https://icdn.lenta.ru/images/2025/12/22/21/20251222211535371/pic_6df150681b34746740c99e022c565ce4.jpg","Россия","Politics","2"
"Vedomosti.ru","Путин продлил неприменение условий «ценового потолка» в нефтяных контрактах","Ведомости","2025-12-15T20:00:59","https://www.vedomosti.ru/business/news/2025/12/15/1163471-putin-prodlil-neprimenenie","https://cdn.vdmsti.ru/image/2025/9p/16f21q/normal-1iz3.png","Бизнес / ТЭК","Politics","1"
"Vedomosti.ru","В России может поменяться система выплаты северных надбавок","""Антон Осипов, Мария Подцероб, Александр Тихонов""","2023-12-18T00:42:35","https://www.vedomosti.ru/management/articles/2023/12/18/1011555-v-rossii-mozhet-pomenyatsya-sistema-viplati-severnih-nadbavok","https://cdn.vdmsti.ru/image/2023/9r/19y9z3/normal-1njx.jpg","Менеджмент / Рынок труда","Politics","1"
"Lenta.ru","""«Дед Мороз, помоги моему братику!» Ногу трехлетнему Дане спасет дорогая операция. Малышу срочно нужна ваша помощь""","","2025-12-16T00:01:00","https://lenta.ru/articles/2025/12/16/rusfond224/","https://icdn.lenta.ru/images/2025/12/15/11/20251215115409027/pic_8f509beec9841a1ba223462c54e51aad.jpg","Россия","Society","1"
"Vedomosti.ru","«Путь к авангарду»: Малевич и Кабаков как опора для духовного выживания","Александр Быковский","2025-09-12T00:01:34","https://www.vedomosti.ru/opinion/columns/2025/09/12/1138643-put-k-avangardu-malevich-i-kabakov","https://cdn.vdmsti.ru/image/2025/72/10byfb/normal-1b34.jpg","Мнения","Travels and tourism","1"
"RT","US treasury chief accuses China of ‘Leninist’ trade tactics","RT","2025-10-14T15:34:33","https://www.rt.com/business/626424-us-china-trade-tensions/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.10/thumbnail/68ee678285f54043317f153e.jpg","Бизнес","Economics","1"
"Lenta.ru","""Лунный календарь на январь 2026 года: фазы Луны, благоприятные дни для дел и начинаний""","Екатерина Шатская","2025-12-22T17:24:29","https://lenta.ru/articles/2025/12/22/lunnyy-kalendar-na-yanvar-2026-goda/","https://icdn.lenta.ru/images/2025/12/17/12/20251217125526354/pic_f52d2320d9807dd8571b9044b96b897f.jpg","Из жизни","Unknown","2"
"RT","South Park’s Trump-Satan sex scene earns fake apology and real White House backlash","RT","2025-07-27T15:46:49","https://www.rt.com/pop-culture/622053-south-park-trump-satire/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.07/thumbnail/688648a82030270eac4a0a6d.jpg","Поп-культура","Science and tech","1"
"Vedomosti.ru","В РФ предложили увеличить утильсбор с автомобилей более 160 лошадиных сил","Ведомости","2025-07-02T17:03:39","https://www.vedomosti.ru/auto/news/2025/07/02/1121629-predlozhili-uvelichit-utilsbor","https://cdn.vdmsti.ru/image/2025/53/10464x/normal-1at1.jpg","Авто","Economics","1"
"Vedomosti.ru","«На выброс»: мусор в поисках рая на земле","Николай Корнацкий","2025-11-21T00:54:51","https://www.vedomosti.ru/opinion/columns/2025/11/21/1156788-na-vibros-musor-v-poiskah-raya-na-zemle","https://cdn.vdmsti.ru/image/2025/91/igtv/normal-ny.jpg","Мнения","Accidents","1"
"Lenta.ru","«За каждым таким случаем стоит горе людей» Полине Лурье вернули право на квартиру Долиной. Как проходило заседание Верховного суда?","Варвара Митина","2025-12-17T00:01:00","https://lenta.ru/articles/2025/12/17/dolina/","https://icdn.lenta.ru/images/2025/12/16/14/20251216145327586/pic_d7d83b4fbac3f64765d5f13297125716.jpg","Силовые структуры","Society","1"
"RT","Venezuela condemns US ‘act of piracy’","RT","2025-12-21T04:04:41","https://www.rt.com/news/629833-venezuela-us-oil-piracy/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/694771c72030272b5770d169.jpg","","Unknown","2"
"Lenta.ru","""Когда ставится запятая перед союзом «и»? Правила, исключения и примеры""","Софья Николаева","2025-12-15T17:35:00","https://lenta.ru/articles/2025/12/15/kogda-stavitsya-zapyataya-pered-soyuzom-i/","https://icdn.lenta.ru/images/2025/12/09/14/20251209144010245/pic_58afa9bac2344e190ce19ff8fe5dc1d8.jpg","Россия","Politics","1"
"RT","German arms giant reports booming sales and profits","RT","2025-11-06T20:13:38","https://www.rt.com/business/627433-germany-rheinmetall-profits-booming/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.11/thumbnail/690cfbe185f540457f2469c1.jpg","Бизнес","Economics","1"
"Lenta.ru","Россиянам рассказали о получении бесплатных путевок в санатории","Екатерина Щербакова","2025-12-21T03:57:00","https://lenta.ru/news/2025/12/21/rossiyanam-rasskazali-o-poluchenii-besplatnyh-putevok-v-sanatorii/","https://icdn.lenta.ru/images/2025/12/21/04/20251221040121653/pic_1bba31109f08c030d47573d32a4c314d.jpg","Россия","Politics","2"
"Vedomosti.ru","Матвиенко заявила о резком росте количества «ложных» самозанятых","Александр Тихонов","2025-11-27T00:15:00","https://www.vedomosti.ru/economics/articles/2025/11/27/1158454-matvienko-zayavila-o-rezkom-roste-kolichestva-lozhnih-samozanyatih","https://cdn.vdmsti.ru/image/2025/96/1avass/normal-1oqq.jpg","Экономика / Налоги и сборы","Politics","1"
"RT","Trump threatens to strip celebrity critic of citizenship","RT","2025-07-13T00:39:55","https://www.rt.com/pop-culture/621398-trump-threatens-to-strip-rosie/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.07/thumbnail/6872ff9e20302759aa37bd01.jpg","Поп-культура","Science and tech","1"
"Lenta.ru","Стало известно о желании чеченцев-вагнеровцев дать бой «Ахмату» во время мятежа Пригожина","Сергей Истомин","2025-12-22T20:52:00","https://lenta.ru/news/2025/12/22/stalo-izvestno-o-zhelanii-chechentsev-vagnerovtsev-dat-boy-ahmatu-vo-vremya-myatezha-prigozhina/","https://icdn.lenta.ru/images/2025/12/22/20/20251222203702649/pic_35655ac2fc83c6d941e2484be5a5f792.jpg","Россия","Politics","2"
"Vedomosti.ru","ВТБ намерен открыть и модернизировать более 470 офисов в 2026 году","Ведомости","2025-12-09T11:10:03","https://www.vedomosti.ru/finance/news/2025/12/09/1161664-vtb-ofisov","https://cdn.vdmsti.ru/image/2025/9j/ncaut/normal-u91.jpg","Финансы / Банки","Economics","1"
"Lenta.ru","В России с воинскими почестями похоронят ранее объявленного в розыск за СОЧ бойца СВО","Алан Босиков","2025-12-23T12:10:56","https://lenta.ru/news/2025/12/23/v-rossii-s-voinskimi-pochestyami-pohoronyat-ranee-ob-yavlennogo-v-rozysk-za-soch-boytsa-svo/","https://icdn.lenta.ru/images/2025/12/23/11/20251223114812014/pic_9df042e0a9c5208b592ad403959bd7b2.jpg","Россия","Politics","3"
"RT","Deadly clashes break out in Aleppo","RT","2025-12-22T22:01:15","https://www.rt.com/news/629895-syria-aleppo-deadly-clashes/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/6949bf4b85f540288c3ebba7.jpg","","Unknown","2"
"RT","Ukrainian agents scamming vulnerable Russians into terror acts – FSB","RT","2025-12-15T10:58:33","https://www.rt.com/russia/629463-ukrainian-intelligence-scam-terrorism/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/693fe22d85f540799f6d2722.jpg","Россия","Politics","1"
"Vedomosti.ru","МИД РФ опроверг данные об эвакуации посольства России из Венесуэлы","Ведомости","2025-12-23T06:53:18","https://www.vedomosti.ru/politics/news/2025/12/23/1165545-mid-rf-oproverg-dannie","","Политика / Международные отношения","Politics","3"
"Vedomosti.ru","В России будут готовить меньше специалистов в сфере машиностроения","Антон Осипов","2023-11-29T00:27:51","https://www.vedomosti.ru/management/articles/2023/11/29/1008270-v-rossii-budut-gotovit-menshe-spetsialistov-v-sfere-mashinostroeniya","https://cdn.vdmsti.ru/image/2023/99/zgna/normal-19z.jpg","Менеджмент / Рынок труда","Politics","1"
"Vedomosti.ru","ФРС снизила ставку третий раз подряд","Данила Моисеев","2025-12-10T23:53:18","https://www.vedomosti.ru/economics/articles/2025/12/10/1162285-frs-snizila-stavku","https://cdn.vdmsti.ru/image/2025/9k/1etu3r/normal-1tvg.jpg","Экономика / Мировая экономика","Economics","1"
"Vedomosti.ru","Сбербанк запустил оплату платежей по QR-кодам в Китае","Ведомости","2025-12-01T11:51:05","https://www.vedomosti.ru/finance/news/2025/12/01/1159523-oplatu-qr-kodam","https://cdn.vdmsti.ru/image/2025/9b/omebc/normal-vwr.jpg","Финансы / Банки","Economics","1"
"Vedomosti.ru","Орешкин предложил учитывать криптовалюты в платежном балансе России","Наталья Заруцкая","2025-12-02T21:16:00","https://www.vedomosti.ru/economics/articles/2025/12/02/1160030-oreshkin-predlozhil-uchitivat","https://cdn.vdmsti.ru/image/2025/9c/191sjl/normal-1mdv.png","Экономика","Politics","1"
"Vedomosti.ru","Ноябрьский мемориал","Николай Миронов","2025-11-05T01:21:19","https://www.vedomosti.ru/opinion/columns/2025/11/05/1152159-noyabrskii-memorial","https://cdn.vdmsti.ru/image/2025/8l/2w7o6/normal-3r3.jpg","Мнения","Culture","1"
"Vedomosti.ru","РЖД решила нанимать осужденных и мигрантов","Антон Осипов","2023-11-20T00:06:09","https://www.vedomosti.ru/management/articles/2023/11/20/1006581-rzhd-reshila-nanimat-osuzhdennih-i-migrantov","https://cdn.vdmsti.ru/image/2023/8z/1812l3/normal-1l29.jpg","Менеджмент / Рынок труда","Politics","1"
"Vedomosti.ru","Российские силы ПВО сбили три украинских дрона за ночь","Ведомости","2025-12-21T07:21:12","https://www.vedomosti.ru/politics/news/2025/12/21/1165036-rossiiskie-sili-pvo","","Политика / Армия и спецслужбы","Politics","2"
"RT","EU tampering with Ukraine peace talks – Putin aide","RT","2025-12-21T13:41:50","https://www.rt.com/russia/629843-eu-tampering-ukraine-peace/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/6947f74f85f54038875ec75d.jpg","Россия","Politics","2"
"Vedomosti.ru","Переговоры замкнутого цикла","Роман Романов","2025-12-02T00:03:00","https://www.vedomosti.ru/opinion/columns/2025/12/02/1159731-peregovori-zamknutogo-tsikla","https://cdn.vdmsti.ru/image/2025/9b/1eyzkd/normal-1u26.jpg","Мнения","Politics","1"
"Vedomosti.ru","Украинские СМИ нашли Миндича в Израиле","Ведомости","2025-12-21T19:22:23","https://www.vedomosti.ru/politics/news/2025/12/21/1165107-smi-nashli-mindicha","","Политика / Международные новости","Politics","2"
"Vedomosti.ru","""Антон Яковлев: «Нам удалось доказать, что мы не разрушители, а созидатели»""","Наталья Витвицкая","2025-07-25T00:12:31","https://www.vedomosti.ru/lifestyle/characters/2025/07/25/1126832-anton-yakovlev-nam-udalos-dokazat-chto-mi-ne-razrushiteli-a-sozidateli","https://cdn.vdmsti.ru/image/2025/5p/1cg8c5/normal-1qsj.jpg","Стиль жизни / Культура","Culture","1"
"Lenta.ru","К чему снится платье: толкование сна из сонников и мнение психолога","Аурелия Акмуллаева","2025-12-18T21:29:22","https://lenta.ru/articles/2025/12/18/k-chemu-snitsya-platie/","https://icdn.lenta.ru/images/2025/12/15/14/20251215143026064/pic_b0a60722e52144a2cb2b1dd0c6cfcfbe.jpg","Забота о себе","Health","1"
"Vedomosti.ru","Число сделок сократилось на первичном и вторичном рынках недвижимости","Мария Асиновская","2025-09-19T00:41:09","https://www.vedomosti.ru/realty/articles/2025/09/19/1140393-chislo-sdelok-sokratilos-na-rinke-nedvizhimosti","https://cdn.vdmsti.ru/image/2025/79/1da3lk/normal-1rvb.png","Недвижимость / Жилая недвижимость","Economics","1"
"RT","Russian oil keeps flowing despite US pressure – Bloomberg","RT","2025-09-30T19:19:46","https://www.rt.com/business/625663-russia-oil-exports-rising/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.09/thumbnail/68dc2a9620302738cb121405.jpg","Бизнес","Politics","1"
"Vedomosti.ru","""Номерной фонд гостиниц в России к 2030 году вырастет в 1,5 раза""","Мария Асиновская","2025-09-02T00:02:44","https://www.vedomosti.ru/realty/articles/2025/09/02/1135754-nomernoi-fond-gostinits-v-rossii-virastet","https://cdn.vdmsti.ru/image/2025/6s/1c3qh5/normal-1qcb.jpg","Недвижимость / Коммерческая недвижимость","Politics","1"
"Vedomosti.ru","Песков прокомментировал слова Вэнса о «прорыве» в переговорах по Украине","Ведомости","2025-12-22T21:31:05","https://www.vedomosti.ru/politics/news/2025/12/22/1165515-peskov-slova-vensa","https://cdn.vdmsti.ru/image/2025/9w/19ycyu/normal-1nk2.png","Политика / Международные отношения","Politics","2"
"Vedomosti.ru","В работе WhatsApp произошел сбой","Ведомости","2025-12-22T13:46:55","https://www.vedomosti.ru/technology/news/2025/12/22/1165330-v-rabote-whatsapp","https://cdn.vdmsti.ru/image/2025/9w/ta9m0/normal-11yb.jpg","Технологии / Интернет и digital","Science and tech","2"
"RT","From jazz to metal: SandlerFest to bring 150 bands to Moscow (VIDEO)","RT","2025-08-29T21:06:14","https://www.rt.com/pop-culture/623690-sandlerfest-150-bands-moscow/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.08/thumbnail/68b20ec285f5405abe5146f5.jpg","Поп-культура","Weather","1"
"Vedomosti.ru","Я проведу тебя в музей","Эльвира Гарифулина","2025-10-10T10:00:46","https://www.vedomosti.ru/opinion/columns/2025/10/10/1145746-provedu-v-muzei","https://cdn.vdmsti.ru/image/2025/7v/5psw9/normal-7eq.jpg","Мнения","Culture","1"
"RT","‘Skill capital of the world’: New era for India’s workforce","RT","2025-12-12T08:54:29","https://www.rt.com/india/629345-skill-capital-of-world-india-labor-reform/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/693bd73d203027576c24995d.jpg","Мнения","Science and tech","1"
"Vedomosti.ru","Костин назвал причины укрепления рубля","Ведомости","2025-12-01T18:46:16","https://www.vedomosti.ru/economics/news/2025/12/01/1159686-kostin-nazval-prichini","https://cdn.vdmsti.ru/image/2025/9b/140xsf/normal-1fvg.jpg","Экономика / Макроэкономика и бюджет","Economics","1"
"Lenta.ru","«Это несправедливый мир» 30 лет назад закончилась жестокая Боснийская война. Какой ценой удалось остановить бойню на Балканах?","Дмитрий Ермаков","2025-12-14T00:01:08","https://lenta.ru/articles/2025/12/14/dayton/","https://icdn.lenta.ru/images/2025/12/12/17/20251212173713498/pic_037ec778ba8b459e866f2c702ef9a0f9.jpg","Мир","Politics","1"
"Lenta.ru","«Землевладелец» — один из самых популярных сериалов года. Почему весь мир увлечен богатой жизнью американских нефтяников?","Илья Кролевский","2025-12-10T00:01:23","https://lenta.ru/articles/2025/12/10/zemlevladelets-odin-iz-samyh-populyarnyh-serialov-goda/","https://icdn.lenta.ru/images/2025/12/09/12/20251209122613552/pic_acee47f16ceef40a067d6c54f0b0df40.jpg","Культура","Politics","1"
"Vedomosti.ru","«Танец XX века»: синхронные движения","Анна Нехаева","2025-04-25T00:11:56","https://www.vedomosti.ru/opinion/columns/2025/04/25/1106610-tanets-xx-veka-sinhronnie-dvizheniya","https://cdn.vdmsti.ru/image/2025/36/1an6u8/normal-1og8.jpg","Мнения","Unknown","1"
"Lenta.ru","Стало известно о сдаче украинского военного в плен своему брату-россиянину","Марина Совина","2025-12-22T07:15:00","https://lenta.ru/news/2025/12/22/stalo-izvestno-o-sdache-ukrainskogo-voennogo-v-plen-svoemu-bratu-rossiyaninu/","https://icdn.lenta.ru/images/2025/12/22/09/20251222093216574/pic_6da2868434f1529dc478609638c44f9a.jpg","Россия","Politics","2"
"RT","Bangladesh unrest sparks protests in India","RT","2025-12-23T12:09:47","https://www.rt.com/india/629918-bangladesh-unrest-sparks-protests-in/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/694a846585f540476062a37d.jpg","","Unknown","3"
"Lenta.ru","""«Это как чума» Странный мем, захвативший интернет, приводит детей в восторг и сводит с ума взрослых. За что его ненавидят?""","Евгения Наумова","2025-12-19T00:01:00","https://lenta.ru/articles/2025/12/18/six-seven/","https://icdn.lenta.ru/images/2025/12/09/15/20251209155601656/pic_dacffca59ee344391cf2b8176defc612.jpg","Интернет и СМИ","Politics","1"
"Vedomosti.ru","""Квартиры в новостройках могут за шесть лет подорожать в 1,5 раза""","Мария Асиновская","2025-10-20T01:42:25","https://www.vedomosti.ru/realty/articles/2025/10/20/1148106-kvartiri-v-novostroikah-mogut-podorozhat","https://cdn.vdmsti.ru/image/2025/85/3n9o6/normal-4q4.jpg","Недвижимость / Жилая недвижимость","Politics","1"
"TASS","""В Лувре установят решетку на окно, через которое грабители попали в музей""","","2025-12-23T20:10:45","https://tass.ru/obschestvo/25999941","","Общество","Culture","4"
"RT","Why Western conservative parties are doomed","RT","2025-10-21T21:38:24","https://www.rt.com/news/626760-western-conservative-parties-doomed/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.10/thumbnail/68f7898a2030277b7d5ad77c.jpg","Мнения","Culture","1"
"Vedomosti.ru","Минпромторг предложил расширить эксперимент по маркировке автокомпонентов","Ведомости","2025-08-07T16:54:29","https://www.vedomosti.ru/auto/news/2025/08/07/1130049-eksperiment-po-markirovke-avtokomponentov","https://cdn.vdmsti.ru/image/2025/63/zu5oy/normal-1ag1.jpg","Авто / Автомобильная промышленность","Science and tech","1"
"RT","EU could target ‘Russian SWIFT’ – Euractiv","RT","2025-09-12T14:07:59","https://www.rt.com/business/624578-eu-targets-russian-swift/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.09/thumbnail/68c428b120302744b4724123.jpg","Бизнес","Politics","1"
"RT","CIS conducting trade almost entirely in national currencies – Putin","RT","2025-12-22T14:11:20","https://www.rt.com/business/629885-putin-national-currencies/?utm_source=rss&utm_medium=rss&utm_campaign=RSS","https://mf.b37mrtl.ru/files/2025.12/thumbnail/694951592030272a6e670844.jpg","Бизнес","Politics","2"
"Vedomosti.ru","Матвиенко рассказала о резком увеличении числа «ложных» самозанятых","Ведомости","2025-11-26T15:43:31","https://www.vedomosti.ru/economics/news/2025/11/26/1158317-matvienko-rasskazala","https://cdn.vdmsti.ru/image/2025/96/wycm9/normal-16pi.jpg","Экономика / Налоги и сборы","Science and tech","1"
"Vedomosti.ru","В Госдуму внесли законопроект об электронных инструктажах по охране труда","Ведомости","2025-12-19T19:32:08","https://www.vedomosti.ru/politics/news/2025/12/19/1164918-zakonoproekt-ob-elektronnih-instruktazhah","https://cdn.vdmsti.ru/image/2025/9t/15m345/normal-1hxk.png","Политика / Власть","Politics","1"
